# forma voseante <TAB> como lo escribe el
# GENERADA Y VALIDADA contra la base. Una entrada sale sola si el sospechoso
# supera 30 usos suyos y el 5% del par: ahi ya no es un error de imitacion,
# es una forma suya. Asi la lista no puede quedarse mintiendo como quedo
# la regla vieja de "cero voseo", que era falsa (vos 32, sos 18).
sos	eres
vos	tú
tenes	tienes
podes	puedes
queres	quieres
decis	dices
seguis	sigues
ponete	ponte
decime	dime
revivis	revivi
hacés	haces
venis	vienes
salis	sales
vivis	vives
tirame	pasame
contame	cuentame
mirá	mira
andá	anda
sacá	saca
confirmá	confirma
dejá	deja
pasá	pasa
vení	ven
tomá	toma
